stt,old_slug,old_project,new_slug,new_project,new_brand,category,logo_direction,primary_colors,status
11,nhua-khanh-phong,Nhựa Khánh Phong,website-polyvera,Website Polyvera,Polyvera,Sản xuất,"Chữ P kết hợp cấu trúc phân tử polymer","#178B6B / #2766B1",HOAN_THANH_VA_DA_TICH_HOP
12,website-mida,Website Mida,website-mirava,Website Mirava,Mirava,Bán lẻ,"Monogram M tinh gọn với điểm sáng cao cấp","#171717 / #C8A96A",HOAN_THANH_VA_DA_TICH_HOP
13,laptop-alltech,Laptop Alltech,website-bytevera,Website Bytevera,Bytevera,Bán lẻ,"Chữ B dạng pixel kết hợp tia điện","#111827 / #2176FF",HOAN_THANH_VA_DA_TICH_HOP
14,autolink-vietnam,AUTOLINK Vietnam,website-motoria-link,Website Motoria Link,Motoria Link,Chuỗi cung ứng,"Con đường liên kết tạo chữ M","#C6383D / #13294B",HOAN_THANH_VA_DA_TICH_HOP
15,website-singapodent,Website SingapoDent,website-dentavera,Website Dentavera,Dentavera,Y tế,"Răng tối giản kết hợp khối in 3D","#16A6A1 / #173B67",HOAN_THANH_VA_DA_TICH_HOP
16,website-noi-that-thanh-tung,Website Nội Thất Thanh Tùng,website-lumera-living,Website Lumera Living,Lumera Living,Nội thất,"Khung không gian tạo chữ L","#B79D7A / #252525",HOAN_THANH_VA_DA_TICH_HOP
17,thiet-ke-website-bat-dong-san-song-quan-land,Thiết kế website bất động sản Song Quân Land,website-auriva-land,Website Auriva Land,Auriva Land,Bất động sản,"Chữ A kết hợp đường chân trời kiến trúc","#174C3C / #C5A15A",HOAN_THANH_VA_DA_TICH_HOP
18,website-dich-vu-cho-thue-xe-bontravel,Website dịch vụ cho thuê xe Bontravel,website-rovena-mobility,Website Rovena Mobility,Rovena Mobility,Du lịch,"Chữ R kết hợp đường xe và cánh chuyển động","#2368B5 / #F27A35",HOAN_THANH_VA_DA_TICH_HOP
19,du-an-website-chu-quan-ca-phe,Dự án website Chủ Quán Cà Phê,website-brewvia,Website Brewvia,Brewvia,Bán lẻ,"Hạt cà phê nằm trong chữ B","#5A3826 / #E8D5B7",HOAN_THANH_VA_DA_TICH_HOP
20,don-vi-thiet-ke-thi-cong-xay-dung-mcs,"Đơn vị thiết kế, thi công xây dựng MCS",website-arcvera-construction,Website Arcvera Construction,Arcvera Construction,Bất động sản,"Chữ A dựng từ lưới kết cấu","#4B5563 / #E87535",HOAN_THANH_VA_DA_TICH_HOP
21,website-dava-edu,Website Dava Edu,website-edunora,Website Edunora,Edunora,Y tế,"Cuốn sách mở kết hợp quỹ đạo học tập","#6657D9 / #29A7DF",HOAN_THANH_VA_DA_TICH_HOP
22,website-noi-that-van-quyet,Website Nội thất Văn Quyết,website-virela-interior,Website Virela Interior,Virela Interior,Kiến trúc & xây dựng,"Chữ V tạo từ đường mặt bằng nội thất","#8F7967 / #202020",HOAN_THANH_VA_DA_TICH_HOP
23,website-bao-vy-pottery,Website Bảo Vy Pottery,website-ceranova,Website Ceranova,Ceranova,Thương mại điện tử,"Chữ C tạo từ vòng xoay đất sét","#B56549 / #F2E5D5",HOAN_THANH_VA_DA_TICH_HOP
24,website-bontravel,Website Bontravel,website-rovena-travel,Website Rovena Travel,Rovena Travel,Du lịch,"La bàn tối giản cùng hệ nhận diện Rovena","#2368B5 / #F27A35",HOAN_THANH_VA_DA_TICH_HOP
25,website-zappa,Website Zappa,website-zenovia-retail,Website Zenovia Retail,Zenovia Retail,Bán lẻ,"Dải ruy băng hình chữ Z","#151515 / #A6D64A",HOAN_THANH_VA_DA_TICH_HOP
26,website-destiny-nail-bar,Website Destiny Nail Bar,website-veloura-nails,Website Veloura Nails,Veloura Nails,Bán lẻ,"Cánh hoa tạo chữ V thanh mảnh","#B7657B / #1F1A1C",HOAN_THANH_VA_DA_TICH_HOP
